fd,seed,unit,n_unit,t_knee_idx,t_knee_norm,t_cp_idx,t_cp_norm,cusum_triggered
FD001,0,13,134,8.0,0.05970149253731343,26,0.19402985074626866,True
FD001,0,89,188,62.0,0.32978723404255317,11,0.05851063829787234,True
FD001,0,71,179,53.0,0.29608938547486036,55,0.30726256983240224,True
FD001,0,88,184,58.0,0.31521739130434784,16,0.08695652173913043,True
FD001,0,37,141,15.0,0.10638297872340426,51,0.3617021276595745,True
FD001,0,22,173,47.0,0.27167630057803466,26,0.15028901734104047,True
FD001,0,84,238,112.0,0.47058823529411764,34,0.14285714285714285,True
FD001,0,10,193,67.0,0.3471502590673575,38,0.19689119170984457,True
FD001,0,97,173,47.0,0.27167630057803466,11,0.06358381502890173,True
FD001,0,68,170,44.0,0.25882352941176473,13,0.07647058823529412,True
FD001,0,65,124,,,14,0.11290322580645161,True
FD001,0,48,202,76.0,0.37623762376237624,54,0.26732673267326734,True
FD001,0,45,129,3.0,0.023255813953488372,13,0.10077519379844961,True
FD001,1,7,230,104.0,0.45217391304347826,24,0.10434782608695652,True
FD001,1,72,184,58.0,0.31521739130434784,16,0.08695652173913043,True
FD001,1,77,125,,,27,0.216,True
FD001,1,2,258,132.0,0.5116279069767442,79,0.3062015503875969,True
FD001,1,17,247,121.0,0.4898785425101215,42,0.1700404858299595,True
FD001,1,65,124,,,13,0.10483870967741936,True
FD001,1,80,156,30.0,0.19230769230769232,25,0.16025641025641027,True
FD001,1,6,159,33.0,0.20754716981132076,23,0.14465408805031446,True
FD001,1,76,181,55.0,0.30386740331491713,180,0.994475138121547,False
FD001,1,10,193,67.0,0.3471502590673575,44,0.22797927461139897,True
FD001,1,73,184,58.0,0.31521739130434784,14,0.07608695652173914,True
FD001,1,13,134,8.0,0.05970149253731343,26,0.19402985074626866,True
FD001,1,38,165,39.0,0.23636363636363636,28,0.1696969696969697,True
FD001,2,48,202,76.0,0.37623762376237624,18,0.0891089108910891,True
FD001,2,86,249,123.0,0.4939759036144578,48,0.1927710843373494,True
FD001,2,94,229,103.0,0.4497816593886463,38,0.16593886462882096,True
FD001,2,50,169,43.0,0.25443786982248523,36,0.21301775147928995,True
FD001,2,35,152,26.0,0.17105263157894737,59,0.3881578947368421,True
FD001,2,8,121,,,16,0.1322314049586777,True
FD001,2,76,181,55.0,0.30386740331491713,180,0.994475138121547,False
FD001,2,83,264,138.0,0.5227272727272727,68,0.25757575757575757,True
FD001,2,44,163,37.0,0.22699386503067484,18,0.11042944785276074,True
FD001,2,23,139,13.0,0.09352517985611511,22,0.15827338129496402,True
FD001,2,73,184,58.0,0.31521739130434784,13,0.07065217391304347,True
FD001,2,16,180,54.0,0.3,22,0.12222222222222222,True
FD001,2,41,187,61.0,0.32620320855614976,34,0.18181818181818182,True
FD001,3,21,166,40.0,0.24096385542168675,53,0.3192771084337349,True
FD001,3,39,99,,,24,0.24242424242424243,True
FD001,3,95,254,128.0,0.5039370078740157,103,0.40551181102362205,True
FD001,3,11,211,85.0,0.4028436018957346,38,0.18009478672985782,True
FD001,3,42,167,41.0,0.24550898203592814,11,0.0658682634730539,True
FD001,3,75,200,74.0,0.37,23,0.115,True
FD001,3,20,205,79.0,0.3853658536585366,66,0.32195121951219513,True
FD001,3,22,173,47.0,0.27167630057803466,26,0.15028901734104047,True
FD001,3,1,163,37.0,0.22699386503067484,25,0.15337423312883436,True
FD001,3,73,184,58.0,0.31521739130434784,14,0.07608695652173914,True
FD001,3,57,108,,,15,0.1388888888888889,True
FD001,3,4,160,34.0,0.2125,44,0.275,True
FD001,3,25,201,75.0,0.373134328358209,15,0.07462686567164178,True
FD001,4,37,141,15.0,0.10638297872340426,23,0.16312056737588654,True
FD001,4,58,118,,,20,0.1694915254237288,True
FD001,4,91,106,,,14,0.1320754716981132,True
FD001,4,99,156,30.0,0.19230769230769232,18,0.11538461538461539,True
FD001,4,59,202,76.0,0.37623762376237624,73,0.3613861386138614,True
FD001,4,10,193,67.0,0.3471502590673575,72,0.37305699481865284,True
FD001,4,51,184,58.0,0.31521739130434784,34,0.18478260869565216,True
FD001,4,73,184,58.0,0.31521739130434784,19,0.10326086956521739,True
FD001,4,88,184,58.0,0.31521739130434784,14,0.07608695652173914,True
FD001,4,2,258,132.0,0.5116279069767442,26,0.10077519379844961,True
FD001,4,70,108,,,15,0.1388888888888889,True
FD001,4,56,246,120.0,0.4878048780487805,24,0.0975609756097561,True
FD001,4,47,185,59.0,0.31891891891891894,25,0.13513513513513514,True
FD002,0,116,178,52.0,0.29213483146067415,30,0.16853932584269662,True
FD002,0,149,260,134.0,0.5153846153846153,64,0.24615384615384617,True
FD002,0,255,311,185.0,0.594855305466238,50,0.1607717041800643,True
FD002,0,73,210,84.0,0.4,69,0.32857142857142857,True
FD002,0,78,132,6.0,0.045454545454545456,46,0.3484848484848485,True
FD002,0,26,158,32.0,0.20253164556962025,12,0.0759493670886076,True
FD002,0,166,175,49.0,0.28,57,0.32571428571428573,True
FD002,0,82,171,45.0,0.2631578947368421,48,0.2807017543859649,True
FD002,0,244,99,,,98,0.98989898989899,False
FD002,0,175,173,47.0,0.27167630057803466,66,0.3815028901734104,True
FD002,0,247,168,42.0,0.25,50,0.2976190476190476,True
FD002,0,40,164,38.0,0.23170731707317074,30,0.18292682926829268,True
FD002,0,231,115,,,11,0.09565217391304348,True
FD002,0,194,119,,,11,0.09243697478991597,True
FD002,0,59,165,39.0,0.23636363636363636,164,0.9939393939393939,False
FD002,0,141,134,8.0,0.05970149253731343,24,0.1791044776119403,True
FD002,0,89,159,33.0,0.20754716981132076,15,0.09433962264150944,True
FD002,0,217,133,7.0,0.05263157894736842,12,0.09022556390977443,True
FD002,0,71,165,39.0,0.23636363636363636,70,0.42424242424242425,True
FD002,0,88,336,210.0,0.625,18,0.05357142857142857,True
FD002,0,37,181,55.0,0.30386740331491713,12,0.06629834254143646,True
FD002,0,243,201,75.0,0.373134328358209,14,0.06965174129353234,True
FD002,0,22,163,37.0,0.22699386503067484,65,0.3987730061349693,True
FD002,0,212,120,,,13,0.10833333333333334,True
FD002,0,10,155,29.0,0.1870967741935484,12,0.07741935483870968,True
FD002,0,104,199,73.0,0.36683417085427134,61,0.3065326633165829,True
FD002,0,196,210,84.0,0.4,24,0.11428571428571428,True
FD002,0,252,106,,,12,0.11320754716981132,True
FD002,0,68,156,30.0,0.19230769230769232,15,0.09615384615384616,True
FD002,0,193,143,17.0,0.11888111888111888,11,0.07692307692307693,True
FD002,0,118,315,189.0,0.6,15,0.047619047619047616,True
FD002,0,48,210,84.0,0.4,24,0.11428571428571428,True
FD002,0,173,122,,,12,0.09836065573770492,True
FD002,1,87,141,15.0,0.10638297872340426,27,0.19148936170212766,True
FD002,1,97,116,,,15,0.12931034482758622,True
FD002,1,223,189,63.0,0.3333333333333333,101,0.5343915343915344,True
FD002,1,232,213,87.0,0.4084507042253521,17,0.07981220657276995,True
FD002,1,216,200,74.0,0.37,18,0.09,True
FD002,1,69,107,,,17,0.1588785046728972,True
FD002,1,51,264,138.0,0.5227272727272727,81,0.3068181818181818,True
FD002,1,143,137,11.0,0.08029197080291971,35,0.25547445255474455,True
FD002,1,158,279,153.0,0.5483870967741935,32,0.11469534050179211,True
FD002,1,157,208,82.0,0.3942307692307692,13,0.0625,True
FD002,1,235,154,28.0,0.18181818181818182,13,0.08441558441558442,True
FD002,1,140,185,59.0,0.31891891891891894,36,0.1945945945945946,True
FD002,1,213,167,41.0,0.24550898203592814,52,0.31137724550898205,True
FD002,1,147,178,52.0,0.29213483146067415,42,0.23595505617977527,True
FD002,1,102,135,9.0,0.06666666666666667,55,0.4074074074074074,True
FD002,1,21,160,34.0,0.2125,37,0.23125,True
FD002,1,179,152,26.0,0.17105263157894737,23,0.1513157894736842,True
FD002,1,26,158,32.0,0.20253164556962025,12,0.0759493670886076,True
FD002,1,135,265,139.0,0.5245283018867924,27,0.1018867924528302,True
FD002,1,238,127,1.0,0.007874015748031496,32,0.25196850393700787,True
FD002,1,72,167,41.0,0.24550898203592814,19,0.11377245508982035,True
FD002,1,205,169,43.0,0.25443786982248523,11,0.0650887573964497,True
FD002,1,130,153,27.0,0.17647058823529413,13,0.08496732026143791,True
FD002,1,145,222,96.0,0.43243243243243246,83,0.3738738738738739,True
FD002,1,193,143,17.0,0.11888111888111888,49,0.34265734265734266,True
FD002,1,80,192,66.0,0.34375,33,0.171875,True
FD002,1,134,218,92.0,0.42201834862385323,20,0.09174311926605505,True
FD002,1,204,208,82.0,0.3942307692307692,15,0.07211538461538461,True
FD002,1,138,171,45.0,0.2631578947368421,16,0.0935672514619883,True
FD002,1,256,134,8.0,0.05970149253731343,29,0.21641791044776118,True
FD002,1,73,210,84.0,0.4,39,0.18571428571428572,True
FD002,1,236,210,84.0,0.4,15,0.07142857142857142,True
FD002,1,38,148,22.0,0.14864864864864866,39,0.2635135135135135,True
FD002,2,59,165,39.0,0.23636363636363636,95,0.5757575757575758,True
FD002,2,34,176,50.0,0.2840909090909091,16,0.09090909090909091,True
FD002,2,39,185,59.0,0.31891891891891894,32,0.17297297297297298,True
FD002,2,104,199,73.0,0.36683417085427134,47,0.23618090452261306,True
FD002,2,52,145,19.0,0.1310344827586207,16,0.1103448275862069,True
FD002,2,108,127,1.0,0.007874015748031496,126,0.9921259842519685,False
FD002,2,171,229,103.0,0.4497816593886463,50,0.2183406113537118,True
FD002,2,5,125,,,13,0.104,True
FD002,2,103,251,125.0,0.49800796812749004,17,0.06772908366533864,True
FD002,2,196,210,84.0,0.4,16,0.0761904761904762,True
FD002,2,168,188,62.0,0.32978723404255317,20,0.10638297872340426,True
FD002,2,38,148,22.0,0.14864864864864866,22,0.14864864864864866,True
FD002,2,117,148,22.0,0.14864864864864866,13,0.08783783783783784,True
FD002,2,125,139,13.0,0.09352517985611511,21,0.1510791366906475,True
FD002,2,149,260,134.0,0.5153846153846153,106,0.4076923076923077,True
FD002,2,219,127,1.0,0.007874015748031496,70,0.5511811023622047,True
FD002,2,32,252,126.0,0.5,12,0.047619047619047616,True
FD002,2,64,253,127.0,0.5019762845849802,69,0.2727272727272727,True
FD002,2,48,210,84.0,0.4,21,0.1,True
FD002,2,214,117,,,17,0.1452991452991453,True
FD002,2,254,231,105.0,0.45454545454545453,12,0.05194805194805195,True
FD002,2,96,179,53.0,0.29608938547486036,34,0.18994413407821228,True
FD002,2,178,119,,,17,0.14285714285714285,True
FD002,2,163,174,48.0,0.27586206896551724,24,0.13793103448275862,True
FD002,2,8,122,,,21,0.1721311475409836,True
FD002,2,105,274,148.0,0.5401459854014599,14,0.051094890510948905,True
FD002,2,76,215,89.0,0.413953488372093,28,0.13023255813953488,True
FD002,2,211,185,59.0,0.31891891891891894,133,0.7189189189189189,True
FD002,2,44,176,50.0,0.2840909090909091,27,0.1534090909090909,True
FD002,2,23,182,56.0,0.3076923076923077,25,0.13736263736263737,True
FD002,2,73,210,84.0,0.4,73,0.3476190476190476,True
FD002,2,16,125,,,22,0.176,True
FD002,2,169,156,30.0,0.19230769230769232,42,0.2692307692307692,True
FD002,3,70,127,1.0,0.007874015748031496,19,0.14960629921259844,True
FD002,3,91,216,90.0,0.4166666666666667,37,0.1712962962962963,True
FD002,3,180,268,142.0,0.5298507462686567,77,0.2873134328358209,True
FD002,3,130,153,27.0,0.17647058823529413,11,0.0718954248366013,True
FD002,3,61,189,63.0,0.3333333333333333,16,0.08465608465608465,True
FD002,3,192,104,,,27,0.25961538461538464,True
