fd,seed,stage,ecr,mpiw,n,pval,split_hash,git_commit,q_hat
FD001,0,global,0.89,35.092052,100,0.4168444877335079,e7611c39ecc59ce6,f4a54813fac5004c638a91b381735e9a060f1794,1.3851336
FD001,0,middle,0.8813559322033898,42.525696,59,0.37662004476276567,e7611c39ecc59ce6,f4a54813fac5004c638a91b381735e9a060f1794,1.3851336
FD001,0,late,0.9024390243902439,24.394848,41,0.5969015997823577,e7611c39ecc59ce6,f4a54813fac5004c638a91b381735e9a060f1794,1.3851336
FD001,1,global,0.91,39.864204,100,0.6791261116371603,fb977ece5f99d20c,f4a54813fac5004c638a91b381735e9a060f1794,1.5702381
FD001,1,middle,0.8813559322033898,48.32885,59,0.37662004476276567,fb977ece5f99d20c,f4a54813fac5004c638a91b381735e9a060f1794,1.5702381
FD001,1,late,0.9512195121951219,27.683372,41,0.926095585292827,fb977ece5f99d20c,f4a54813fac5004c638a91b381735e9a060f1794,1.5702381
FD001,2,global,0.85,33.277,100,0.07257296526488066,bb7a789caa43ff59,f4a54813fac5004c638a91b381735e9a060f1794,1.4203793
FD001,2,middle,0.8305084745762712,39.486355,59,0.06658944558287122,bb7a789caa43ff59,f4a54813fac5004c638a91b381735e9a060f1794,1.4203793
FD001,2,late,0.8780487804878049,24.341583,41,0.39157100780991866,bb7a789caa43ff59,f4a54813fac5004c638a91b381735e9a060f1794,1.4203793
FD001,3,global,0.89,37.12866,100,0.4168444877335079,06430c1811fbc941,f4a54813fac5004c638a91b381735e9a060f1794,1.4490763
FD001,3,middle,0.8813559322033898,44.762726,59,0.37662004476276567,06430c1811fbc941,f4a54813fac5004c638a91b381735e9a060f1794,1.4490763
FD001,3,late,0.9024390243902439,26.14306,41,0.5969015997823577,06430c1811fbc941,f4a54813fac5004c638a91b381735e9a060f1794,1.4490763
FD001,4,global,0.9,38.497528,100,0.5487098345579959,faa043d88cde17c1,f4a54813fac5004c638a91b381735e9a060f1794,1.4976274
FD001,4,middle,0.8983050847457628,47.37226,59,0.5459055761264994,faa043d88cde17c1,f4a54813fac5004c638a91b381735e9a060f1794,1.4976274
FD001,4,late,0.9024390243902439,25.726568,41,0.5969015997823577,faa043d88cde17c1,f4a54813fac5004c638a91b381735e9a060f1794,1.4976274
FD002,0,global,0.9498069498069498,51.407383,259,0.9987557395644557,69d2eb25b91b5749,f4a54813fac5004c638a91b381735e9a060f1794,1.6666305
FD002,0,middle,0.9333333333333333,62.661003,150,0.9399537772369893,69d2eb25b91b5749,f4a54813fac5004c638a91b381735e9a060f1794,1.6666305
