fd,bin,median_abs_s
FD001,0,0.39347113936147116
FD001,1,0.5917197399897328
FD001,2,0.682106961678945
FD001,3,0.5798794417484411
FD001,4,0.8234644889447744
FD001,5,0.5926948677687376
FD001,6,0.6886328369955799
FD001,7,0.5682562053927989
FD001,8,0.7013213781201171
FD001,9,0.49033916495765234
FD002,0,0.6663330455987284
FD002,1,0.6612248331217352
FD002,2,0.6593894487094951
FD002,3,0.7276778585850948
FD002,4,0.7384213826514989
FD002,5,0.7866921227775732
FD002,6,0.8119700716147029
FD002,7,0.8253118830581072
FD002,8,0.8809802456284279
FD002,9,0.777233042759688
FD003,0,0.17503922100114241
FD003,1,0.26250664454859984
FD003,2,0.2760381522889499
FD003,3,0.4443910682402383
FD003,4,0.6920429539757902
FD003,5,1.122345992261197
FD003,6,0.661354122025117
FD003,7,0.6872971803264205
FD003,8,0.5155245300474105
FD003,9,0.44768684330928954
FD004,0,0.48220738283534204
FD004,1,0.47498832190349116
FD004,2,0.47544043527342883
FD004,3,0.4945695881082792
FD004,4,0.6635003053077615
FD004,5,0.7861415595722405
FD004,6,0.8538168029413717
FD004,7,0.8379445957321588
FD004,8,0.5839884475980811
FD004,9,0.4732731490804046
