fd,seed,unit,bin,median_abs_s,n
FD001,0,88,0,0.5719142825259766,18
FD001,0,88,1,1.1873745918005876,18
FD001,0,88,2,0.7573887945960425,18
FD001,0,88,3,0.5746517633045719,19
FD001,0,88,4,1.1991986512404664,18
FD001,0,88,5,0.5807240292012201,18
FD001,0,88,6,0.3273208589372026,19
FD001,0,88,7,0.45407835578760136,18
FD001,0,88,8,0.10198464944200801,18
FD001,0,88,9,0.4190842993527139,19
FD001,0,37,0,0.38263316913075823,13
FD001,0,37,1,0.6675129166273952,14
FD001,0,37,2,0.23203061805190803,15
FD001,0,37,3,0.6575122270750601,13
FD001,0,37,4,1.2636091023196996,14
FD001,0,37,5,0.6046657063362549,15
FD001,0,37,6,1.4347309331675189,14
FD001,0,37,7,1.0325328666552944,13
FD001,0,37,8,0.26443427857996193,14
FD001,0,37,9,0.5918659188229982,15
FD001,0,22,0,0.2958411816690523,17
FD001,0,22,1,1.5625989411791632,17
FD001,0,22,2,1.0805483921713301,17
FD001,0,22,3,0.15730821109884882,17
FD001,0,22,4,0.4963648477686371,17
FD001,0,22,5,0.31502042382170126,18
FD001,0,22,6,0.34818962845799756,17
FD001,0,22,7,0.15084308680632844,17
FD001,0,22,8,0.3580316654340649,17
FD001,0,22,9,0.3228313361500841,18
FD001,0,84,0,0.430957416418497,23
FD001,0,84,1,0.5557941655915102,24
FD001,0,84,2,0.8524553394900136,24
FD001,0,84,3,0.7366821866375207,23
FD001,0,84,4,1.0199322372345887,24
FD001,0,84,5,1.4847703076072434,24
FD001,0,84,6,0.392905599785211,23
FD001,0,84,7,1.110288533622627,24
FD001,0,84,8,0.3539647770593274,24
FD001,0,84,9,0.4824539868308968,24
FD001,0,10,0,0.1920164050185695,19
FD001,0,10,1,0.15564544103315597,19
FD001,0,10,2,0.26928210948239556,19
FD001,0,10,3,0.5595565168057431,19
FD001,0,10,4,0.6487540406994534,19
FD001,0,10,5,0.2694481285767054,20
FD001,0,10,6,0.8592628576684528,19
FD001,0,10,7,1.1041956679404374,19
FD001,0,10,8,0.6580300418120615,19
FD001,0,10,9,1.1079289891665864,20
FD001,0,97,0,0.3743422786900741,17
FD001,0,97,1,0.4023008569276317,17
FD001,0,97,2,0.4732585947762012,17
FD001,0,97,3,0.6713782117315945,17
FD001,0,97,4,1.3449036528235228,17
FD001,0,97,5,1.49474949777512,18
FD001,0,97,6,1.639330522731138,17
FD001,0,97,7,0.5181171685312442,17
FD001,0,97,8,1.0245841302236554,17
FD001,0,97,9,0.26107829950155226,18
FD001,0,68,0,0.39800929676604185,16
FD001,0,68,1,0.8266657390942171,17
FD001,0,68,2,1.3388856791616577,17
FD001,0,68,3,0.25360346357825464,17
FD001,0,68,4,0.9394247193754713,17
FD001,0,68,5,0.18105930720601435,17
FD001,0,68,6,0.8629289200742797,17
FD001,0,68,7,0.8002782367459712,17
FD001,0,68,8,0.6185062541886953,17
FD001,0,68,9,0.39149596811516596,17
FD001,0,65,0,0.7025706340989246,12
FD001,0,65,1,1.8502539306643955,12
FD001,0,65,2,2.976064082460324,12
FD001,0,65,3,1.8106444497016596,13
FD001,0,65,4,1.504210177110838,12
FD001,0,65,5,1.869011244940718,12
FD001,0,65,6,0.4633844912994559,13
FD001,0,65,7,0.8171993993616691,12
FD001,0,65,8,1.4075727408235754,12
FD001,0,65,9,0.22905497012876413,13
FD001,0,48,0,0.43138675210248256,20
FD001,0,48,1,0.3303763929430332,20
FD001,0,48,2,0.5181658095300501,20
FD001,0,48,3,0.7719589936325206,20
FD001,0,48,4,0.8330163477276376,20
FD001,0,48,5,0.7381018013911056,20
FD001,0,48,6,0.5325989607355949,20
FD001,0,48,7,0.5032237696539983,20
FD001,0,48,8,0.2787755716280951,20
FD001,0,48,9,0.4279698007422063,21
FD001,0,45,0,0.4184697569073041,12
FD001,0,45,1,1.599751265273017,13
FD001,0,45,2,0.6191943062518841,13
FD001,0,45,3,1.9501336200850763,13
FD001,0,45,4,0.9387177003428641,12
FD001,0,45,5,0.4762666931509281,13
FD001,0,45,6,0.8753650467457462,13
FD001,0,45,7,1.0824530035192617,13
FD001,0,45,8,0.40541833589535303,13
FD001,0,45,9,0.23675116857964706,13
FD001,1,2,0,0.12529060517550172,25
FD001,1,2,1,0.16330249208426145,26
FD001,1,2,2,0.1487335611616496,26
FD001,1,2,3,0.25372034573541163,25
FD001,1,2,4,0.6668356807863329,26
FD001,1,2,5,0.615246891123663,26
FD001,1,2,6,0.672133581107042,25
FD001,1,2,7,0.5813689930450752,26
FD001,1,2,8,0.742274192080712,26
FD001,1,2,9,0.44550073922007577,26
FD001,1,17,0,0.3341116779214387,24
FD001,1,17,1,0.5230225771809806,25
FD001,1,17,2,0.48650298450563323,24
FD001,1,17,3,0.8609314546029577,25
FD001,1,17,4,1.3115370565820175,24
FD001,1,17,5,1.041378761141848,25
FD001,1,17,6,0.7174718704291877,25
FD001,1,17,7,0.6840912464769955,24
FD001,1,17,8,1.0197304385369035,25
FD001,1,17,9,0.3307318351962741,25
FD001,1,65,0,0.7024870794815681,12
FD001,1,65,1,1.8036005630176655,12
FD001,1,65,2,2.7002136113760256,12
FD001,1,65,3,2.182080954671316,13
FD001,1,65,4,2.012435581686205,12
FD001,1,65,5,2.4194443070086153,12
FD001,1,65,6,0.8457218562210306,13
FD001,1,65,7,1.1211167545795755,12
FD001,1,65,8,1.0495666602560587,12
FD001,1,65,9,0.16351347227036014,13
FD001,1,80,0,0.25857044455309414,15
FD001,1,80,1,0.5160714371396976,15
FD001,1,80,2,0.37203502249732934,16
FD001,1,80,3,0.25644424105809904,15
FD001,1,80,4,2.0360222710531164,16
FD001,1,80,5,1.2491715279906748,16
FD001,1,80,6,0.25488618207486985,15
FD001,1,80,7,1.02887396644608,15
FD001,1,80,8,0.6903628317463186,16
FD001,1,80,9,1.1253250225554603,16
FD001,1,6,0,0.18540883043313852,15
FD001,1,6,1,0.7531461766479726,16
FD001,1,6,2,0.481492053594315,16
FD001,1,6,3,0.5816814825379337,16
FD001,1,6,4,0.5057057973928327,15
FD001,1,6,5,1.676224092481801,16
FD001,1,6,6,1.3262342073565463,16
FD001,1,6,7,0.2537900735525584,16
FD001,1,6,8,0.736449370811142,16
FD001,1,6,9,0.3449037214814337,16
FD001,1,76,0,0.43271567758081253,17
FD001,1,76,1,0.8978402364462638,18
FD001,1,76,2,0.9621095475878054,19
FD001,1,76,3,0.32355473099223986,17
FD001,1,76,4,0.7161492135372884,18
FD001,1,76,5,0.22158298265249507,19
FD001,1,76,6,0.5562460091093504,18
FD001,1,76,7,0.21386376576311703,17
FD001,1,76,8,0.1347827711121508,18
FD001,1,76,9,0.2533623116623204,19
FD001,1,10,0,0.08981528279700093,19
FD001,1,10,1,0.10569443479060331,19
FD001,1,10,2,0.26912807181777565,19
FD001,1,10,3,0.4337024439692188,19
FD001,1,10,4,0.7487094476228129,19
FD001,1,10,5,0.49864092351027156,20
FD001,1,10,6,0.8971773525239808,19
FD001,1,10,7,0.618186831939047,19
FD001,1,10,8,0.6576361570107823,19
FD001,1,10,9,1.172160491421868,20
FD001,1,73,0,0.21877497817884878,18
FD001,1,73,1,1.2475520212607516,18
FD001,1,73,2,0.7308761420945457,18
FD001,1,73,3,0.5046961897801816,19
FD001,1,73,4,0.6234154729265409,18
FD001,1,73,5,1.098353120650805,18
FD001,1,73,6,0.3564311264217904,19
FD001,1,73,7,1.1111983064235624,18
FD001,1,73,8,1.5391784758954468,18
FD001,1,73,9,0.23518806821433452,19
FD001,1,13,0,0.2613483706804851,13
FD001,1,13,1,0.16255632054870678,13
FD001,1,13,2,0.9550825960924099,13
FD001,1,13,3,1.399907528945127,14
FD001,1,13,4,1.5495085459621694,13
FD001,1,13,5,1.4200310368333384,13
FD001,1,13,6,0.5383412183789826,14
FD001,1,13,7,1.3911754257547493,13
FD001,1,13,8,1.1901606656873878,13
FD001,1,13,9,0.9825153505935438,14
FD001,1,38,0,0.28156135269004035,16
FD001,1,38,1,0.6993869309676852,16
FD001,1,38,2,0.41750679934027257,17
FD001,1,38,3,0.48876599391977926,16
FD001,1,38,4,0.9463459619149408,16
FD001,1,38,5,1.7458266835458565,17
FD001,1,38,6,0.34296515906571123,16
FD001,1,38,7,0.5112976582430101,17
FD001,1,38,8,0.9675171237414026,16
FD001,1,38,9,0.7166783199091,17
FD001,2,50,0,0.593800588881011,16
FD001,2,50,1,0.4614721745064946,17
FD001,2,50,2,0.9520872520598481,17
FD001,2,50,3,0.3261446931556117,17
FD001,2,50,4,1.6197596133010077,16
FD001,2,50,5,1.6632156797806898,17
FD001,2,50,6,1.0813082756280203,17
FD001,2,50,7,1.211557784840618,17
FD001,2,50,8,0.502758120125642,17
FD001,2,50,9,0.3012812911125831,17
FD001,2,35,0,0.6542923538535212,15
FD001,2,35,1,0.4786116682551255,15
FD001,2,35,2,0.3888629307402443,15
FD001,2,35,3,1.2715810628434763,15
FD001,2,35,4,1.6500653531440062,15
FD001,2,35,5,0.7032544255394896,15
FD001,2,35,6,0.6201083929329868,15
FD001,2,35,7,0.2747881034746496,15
FD001,2,35,8,0.2835561150960409,15
FD001,2,35,9,0.9774240028809966,16
FD001,2,8,0,0.643496115071052,11
FD001,2,8,1,0.8073988630386644,12
FD001,2,8,2,1.399779920445372,13
FD001,2,8,3,1.0668045954868566,11
FD001,2,8,4,0.8139126301619113,12
FD001,2,8,5,0.8421724144528164,13
FD001,2,8,6,1.7524710513096853,12
FD001,2,8,7,1.4722367921064998,11
FD001,2,8,8,0.22858601071994125,12
FD001,2,8,9,0.9010176366166519,13
FD001,2,76,0,0.37407340079501994,17
FD001,2,76,1,0.5377302942420041,18
FD001,2,76,2,0.7347969522035253,19
FD001,2,76,3,0.2759678537506648,17
FD001,2,76,4,0.37861144879804276,18
FD001,2,76,5,0.323407611336504,19
FD001,2,76,6,0.34905712050467375,18
FD001,2,76,7,0.3196369675400954,17
FD001,2,76,8,0.16321187663818953,18
FD001,2,76,9,0.36058815226901825,19
FD001,2,83,0,0.12412067839996985,26
FD001,2,83,1,0.144114936210259,26
FD001,2,83,2,0.13097449737051253,26
FD001,2,83,3,0.2561977873361013,27
FD001,2,83,4,0.4485766754699806,26
FD001,2,83,5,0.49050799838864567,26
FD001,2,83,6,0.541087410278681,27
FD001,2,83,7,0.9671459000580243,26
FD001,2,83,8,0.8844495167733882,26
FD001,2,83,9,0.3710896976872876,27
FD001,2,44,0,0.4490365279118941,16
FD001,2,44,1,0.5693023899208189,16
FD001,2,44,2,0.3728961965278918,16
FD001,2,44,3,0.2621224719020625,16
FD001,2,44,4,0.5623193199266067,16
FD001,2,44,5,1.1544521463063175,17
FD001,2,44,6,1.727454552386975,16
FD001,2,44,7,0.5398617984115053,16
FD001,2,44,8,0.8950825440633634,16
FD001,2,44,9,0.7743634523820491,17
FD001,2,23,0,0.21582931715651976,13
FD001,2,23,1,0.2436690758431641,14
FD001,2,23,2,0.694985847259441,14
FD001,2,23,3,0.6366224618785098,14
FD001,2,23,4,1.7623234285392437,13
FD001,2,23,5,0.9264100631143387,14
FD001,2,23,6,0.3792288239739181,14
FD001,2,23,7,0.4366761049862483,14
FD001,2,23,8,0.7858795800054121,14
FD001,2,23,9,0.9321993774795149,14
FD001,2,73,0,0.2878976145435531,18
FD001,2,73,1,0.7893484855191755,18
FD001,2,73,2,0.8367854896277361,18
FD001,2,73,3,0.4960241192948303,19
FD001,2,73,4,0.4187562997961559,18
FD001,2,73,5,0.4073855587842723,18
FD001,2,73,6,0.43931934189901756,19
FD001,2,73,7,0.22132937037760947,18
FD001,2,73,8,0.8529464578564323,18
FD001,2,73,9,0.313315471873309,19
FD001,2,16,0,0.7478464915769433,17
FD001,2,16,1,1.4982557044362261,18
FD001,2,16,2,0.852954581193107,18
FD001,2,16,3,1.1353732312006,18
FD001,2,16,4,1.1699711071432022,18
FD001,2,16,5,0.4147150963365337,18
FD001,2,16,6,1.0816193362970503,18
FD001,2,16,7,0.7602445273927637,18
FD001,2,16,8,0.19961307194877695,18
FD001,2,16,9,0.43568642068692864,18
FD001,2,41,0,0.4714848276072501,18
FD001,2,41,1,0.6568264192381823,19
FD001,2,41,2,0.8824523976939354,18
FD001,2,41,3,0.35097486413241824,19
FD001,2,41,4,0.6525604809922423,18
FD001,2,41,5,0.3257199923501359,19
FD001,2,41,6,0.42622100209036606,19
FD001,2,41,7,0.5688639598088329,18
FD001,2,41,8,0.41254448507550145,19
FD001,2,41,9,0.702344031447287,19
FD001,3,11,0,0.19802984234603901,20
FD001,3,11,1,0.21778218497780258,21
FD001,3,11,2,0.5341708453365079,22
FD001,3,11,3,0.4783674044544497,20
FD001,3,11,4,0.3559041351223045,21
FD001,3,11,5,0.4661471775314704,22
FD001,3,11,6,0.2680179786292978,21
FD001,3,11,7,0.31182020221851436,20
FD001,3,11,8,0.34016687808502866,21
FD001,3,11,9,0.5356085633206062,22
FD001,3,42,0,0.5897609110580663,16
FD001,3,42,1,0.6141370900586467,17
FD001,3,42,2,0.9355187088509249,16
FD001,3,42,3,0.5780774009589484,17
FD001,3,42,4,1.193659725594713,16
FD001,3,42,5,0.19519606070032275,17
FD001,3,42,6,0.8972166887247924,17
FD001,3,42,7,0.1952651937431328,16
FD001,3,42,8,1.3479675269441715,17
FD001,3,42,9,1.0350973280405418,17
FD001,3,75,0,0.3812675443414506,19
FD001,3,75,1,0.4152018046697123,20
FD001,3,75,2,0.6632814120229714,20
FD001,3,75,3,0.654600472989085,20
FD001,3,75,4,0.6574082900315448,20
FD001,3,75,5,0.26658383329334745,20
FD001,3,75,6,1.5099943900700965,20
FD001,3,75,7,1.3199158204829171,20
FD001,3,75,8,0.8107255641512126,20
FD001,3,75,9,0.7261112157519118,20
FD001,3,20,0,0.6661059434355603,20
FD001,3,20,1,0.6614069043461921,20
FD001,3,20,2,0.5316629979674073,21
FD001,3,20,3,1.5162601419863302,20
FD001,3,20,4,0.8894706424632981,20
FD001,3,20,5,0.17833469609762506,21
FD001,3,20,6,0.4633413228981078,20
FD001,3,20,7,0.5581201720506206,21
FD001,3,20,8,0.40542074278959084,20
FD001,3,20,9,0.616298972520265,21
FD001,3,22,0,0.49462276858369253,17
FD001,3,22,1,1.2466216738296771,17
FD001,3,22,2,1.2637579970256163,17
FD001,3,22,3,0.12603679001934223,17
FD001,3,22,4,0.5707843415922024,17
FD001,3,22,5,0.357821852312189,18
FD001,3,22,6,0.32284083158995514,17
FD001,3,22,7,0.20936694787915064,17
FD001,3,22,8,0.3150131783991161,17
FD001,3,22,9,0.2960076671532276,18
FD001,3,1,0,0.37473903625442084,16
FD001,3,1,1,0.513922254041548,16
FD001,3,1,2,0.5837483603662181,16
FD001,3,1,3,0.8616439808607937,16
FD001,3,1,4,0.3385315853930793,16
FD001,3,1,5,1.2799762372736274,17
FD001,3,1,6,0.954665047198112,16
FD001,3,1,7,1.5427370345635432,16
FD001,3,1,8,0.7122799244939155,16
FD001,3,1,9,0.6608589599337021,17
FD001,3,73,0,0.38893298195690046,18
FD001,3,73,1,1.0982001403634265,18
FD001,3,73,2,0.7982166286543437,18
FD001,3,73,3,0.6137173760337606,19
FD001,3,73,4,0.3775495969514508,18
FD001,3,73,5,0.4537738266953235,18
FD001,3,73,6,0.2574222366403524,19
FD001,3,73,7,0.5658390451112769,18
FD001,3,73,8,1.4707976414273352,18
FD001,3,73,9,0.5942278597668895,19
FD001,3,57,0,2.5428834644061538,10
FD001,3,57,1,3.149812064499339,11
FD001,3,57,2,2.5972301115423875,11
FD001,3,57,3,0.855325425567855,10
FD001,3,57,4,1.5152077141302365,11
FD001,3,57,5,3.450401454230687,11
FD001,3,57,6,1.8488331175862083,10
FD001,3,57,7,0.5320633807531925,11
FD001,3,57,8,0.5942824973011941,11
FD001,3,57,9,0.34042271427270804,11
FD001,3,4,0,0.5928793454137179,15
FD001,3,4,1,0.4626352152272961,16
FD001,3,4,2,0.5323571845828494,16
FD001,3,4,3,0.9378443372771843,16
FD001,3,4,4,3.1781830431013276,16
FD001,3,4,5,1.818726145567435,16
FD001,3,4,6,0.8278124445086389,16
FD001,3,4,7,0.7135928840266614,16
FD001,3,4,8,0.5186797929932989,16
FD001,3,4,9,0.18800580252375482,16
FD001,3,25,0,0.27506118588357664,19
FD001,3,25,1,0.5502901645836309,20
FD001,3,25,2,0.600029690241187,21
FD001,3,25,3,0.5779055477725451,19
FD001,3,25,4,0.5489355965578093,20
FD001,3,25,5,0.49755943510539724,21
FD001,3,25,6,0.37013564676435057,20
FD001,3,25,7,0.2563458351753342,19
FD001,3,25,8,0.4895357324902295,20
FD001,3,25,9,0.3719875740668602,21
FD001,4,99,0,0.7066073926355981,15
