convention,method,fd,mean_worst_stage,k,n,per_seed_worst
Fixed-fraction,MC-Dropout,FD001,middle,4,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'middle', 4: 'late'}"
Fixed-fraction,MC-Dropout,FD002,middle,4,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'middle', 4: 'late'}"
Fixed-fraction,MC-Dropout,FD003,middle,4,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'middle', 4: 'late'}"
Fixed-fraction,MC-Dropout,FD004,middle,3,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'late', 4: 'late'}"
Fixed-fraction,Split CP,FD001,middle,4,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'middle', 4: 'late'}"
Fixed-fraction,Split CP,FD002,late,1,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'middle', 4: 'late'}"
Fixed-fraction,Split CP,FD003,middle,5,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'middle', 4: 'middle'}"
Fixed-fraction,Split CP,FD004,middle,3,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'late', 4: 'late'}"
Fixed-fraction,Mondrian CP,FD001,middle,5,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'middle', 4: 'middle'}"
Fixed-fraction,Mondrian CP,FD002,middle,4,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'middle', 4: 'late'}"
Fixed-fraction,Mondrian CP,FD003,middle,5,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'middle', 4: 'middle'}"
Fixed-fraction,Mondrian CP,FD004,middle,5,5,"{0: 'middle', 1: 'middle', 2: 'middle', 3: 'middle', 4: 'middle'}"
CUSUM,MC-Dropout,FD001,late,4,5,"{0: 'late', 1: 'late', 2: 'late', 3: 'late', 4: 'early'}"
CUSUM,MC-Dropout,FD002,late,5,5,"{0: 'late', 1: 'late', 2: 'late', 3: 'late', 4: 'late'}"
CUSUM,MC-Dropout,FD003,late,5,5,"{0: 'late', 1: 'late', 2: 'late', 3: 'late', 4: 'late'}"
CUSUM,MC-Dropout,FD004,late,5,5,"{0: 'late', 1: 'late', 2: 'late', 3: 'late', 4: 'late'}"
CUSUM,Split CP,FD001,late,4,5,"{0: 'late', 1: 'late', 2: 'late', 3: 'late', 4: 'early'}"
CUSUM,Split CP,FD002,late,5,5,"{0: 'late', 1: 'late', 2: 'late', 3: 'late', 4: 'late'}"
CUSUM,Split CP,FD003,late,5,5,"{0: 'late', 1: 'late', 2: 'late', 3: 'late', 4: 'late'}"
CUSUM,Split CP,FD004,late,5,5,"{0: 'late', 1: 'late', 2: 'late', 3: 'late', 4: 'late'}"
CUSUM,Mondrian CP,FD001,late,2,5,"{0: 'late', 1: 'late', 2: 'middle', 3: 'middle', 4: 'early'}"
CUSUM,Mondrian CP,FD002,late,4,5,"{0: 'late', 1: 'late', 2: 'late', 3: 'late', 4: 'middle'}"
CUSUM,Mondrian CP,FD003,late,3,5,"{0: 'middle', 1: 'late', 2: 'late', 3: 'late', 4: 'middle'}"
CUSUM,Mondrian CP,FD004,late,3,5,"{0: 'late', 1: 'middle', 2: 'late', 3: 'middle', 4: 'late'}"
