fd,seed,unit,n_unit,t_knee,t_cp,t_knee_frac,t_cp_frac
FD001,0,10,192,66.0,43,0.34375,0.22395833333333334
FD001,0,22,172,46.0,25,0.26744186046511625,0.14534883720930233
FD001,0,37,140,14.0,51,0.1,0.36428571428571427
FD001,0,45,128,2.0,12,0.015625,0.09375
FD001,0,48,201,75.0,71,0.373134328358209,0.35323383084577115
FD001,0,65,123,,13,,0.10569105691056911
FD001,0,68,169,43.0,14,0.25443786982248523,0.08284023668639054
FD001,0,84,237,111.0,39,0.46835443037974683,0.16455696202531644
FD001,0,88,183,57.0,16,0.3114754098360656,0.08743169398907104
FD001,0,97,172,46.0,14,0.26744186046511625,0.08139534883720931
FD001,1,2,257,131.0,38,0.5097276264591439,0.14785992217898833
FD001,1,6,158,32.0,24,0.20253164556962025,0.1518987341772152
FD001,1,10,192,66.0,44,0.34375,0.22916666666666666
FD001,1,13,133,7.0,19,0.05263157894736842,0.14285714285714285
FD001,1,17,246,120.0,82,0.4878048780487805,0.3333333333333333
FD001,1,38,164,38.0,67,0.23170731707317074,0.40853658536585363
FD001,1,65,123,,14,,0.11382113821138211
FD001,1,73,183,57.0,16,0.3114754098360656,0.08743169398907104
FD001,1,76,180,54.0,179,0.3,0.9944444444444445
FD001,1,80,155,29.0,25,0.1870967741935484,0.16129032258064516
FD001,2,8,120,,20,,0.16666666666666666
FD001,2,16,179,53.0,21,0.29608938547486036,0.11731843575418995
FD001,2,23,138,12.0,15,0.08695652173913043,0.10869565217391304
FD001,2,35,151,25.0,52,0.16556291390728478,0.3443708609271523
FD001,2,41,186,60.0,34,0.3225806451612903,0.1827956989247312
FD001,2,44,162,36.0,23,0.2222222222222222,0.1419753086419753
FD001,2,50,168,42.0,35,0.25,0.20833333333333334
FD001,2,73,183,57.0,18,0.3114754098360656,0.09836065573770492
FD001,2,76,180,54.0,179,0.3,0.9944444444444445
FD001,2,83,263,137.0,118,0.5209125475285171,0.44866920152091255
FD001,3,1,162,36.0,32,0.2222222222222222,0.19753086419753085
FD001,3,4,159,33.0,43,0.20754716981132076,0.27044025157232704
FD001,3,11,210,84.0,45,0.4,0.21428571428571427
FD001,3,20,204,78.0,63,0.38235294117647056,0.3088235294117647
FD001,3,22,172,46.0,26,0.26744186046511625,0.1511627906976744
FD001,3,25,200,74.0,12,0.37,0.06
FD001,3,42,166,40.0,37,0.24096385542168675,0.22289156626506024
FD001,3,57,107,,17,,0.1588785046728972
FD001,3,73,183,57.0,13,0.3114754098360656,0.07103825136612021
FD001,3,75,199,73.0,54,0.36683417085427134,0.271356783919598
FD001,4,2,257,131.0,77,0.5097276264591439,0.29961089494163423
FD001,4,10,192,66.0,48,0.34375,0.25
