fd,decile,n,failure_rate,exceed_qhat_frac,median_s_t,median_abs_err,median_sigma
FD001,1,1120,0.0267857142857143,0.026785714285714284,0.32847434282302856,3.726840972900405,11.212398529052734
FD001,2,1148,0.07055749128919864,0.07055749128919861,0.49520154297351837,6.58348464965821,12.734782218933105
FD001,3,1161,0.09388458225667529,0.09388458225667529,0.5795009136199951,8.031051635742202,13.925650596618652
FD001,4,1153,0.11708586296617518,0.1170858629661752,0.6467384099960327,9.600173950195327,15.650080680847168
FD001,5,1140,0.21666666666666667,0.21666666666666667,1.0334473848342896,15.959064483642578,16.849687576293945
FD001,6,1166,0.1783876500857633,0.1783876500857633,0.7886749804019928,12.995014190673828,16.98887348175049
FD001,7,1157,0.1235955056179775,0.12359550561797752,0.7350791692733765,10.278099060058594,15.321722984313965
FD001,8,1157,0.10198789974070877,0.10198789974070872,0.5484053492546082,5.614997863769531,9.622955322265623
FD001,9,1152,0.05989583333333337,0.059895833333333336,0.5256201922893524,3.6103649139404332,6.695137023925781
FD001,10,1190,0.0008403361344537785,0.0008403361344537816,0.30157043039798737,1.8440861701965314,6.092106819152832
FD002,1,2840,0.03169014084507038,0.03169014084507042,0.5338926315307617,7.927387237548842,14.993740558624268
FD002,2,2924,0.06874145006839949,0.06874145006839945,0.5717039406299591,9.234134674072259,15.901468753814697
FD002,3,2946,0.10964019008825521,0.10964019008825526,0.5924852788448334,10.140457153320298,16.642196655273438
FD002,4,2924,0.146374829001368,0.146374829001368,0.6596462726593018,12.75986099243164,19.124293327331543
FD002,5,2916,0.16563786008230452,0.16563786008230452,0.7303647994995117,15.059574127197273,20.954357147216797
FD002,6,2952,0.21917344173441733,0.21917344173441736,0.8826612234115601,19.754856109619134,22.808335304260254
FD002,7,2946,0.17718940936863548,0.17718940936863545,0.8405206203460693,19.412109375,23.217741012573242
FD002,8,2924,0.15116279069767447,0.1511627906976744,0.7457460165023804,13.821697235107418,19.75979995727539
FD002,9,2946,0.08418194161575021,0.08418194161575017,0.6464505195617676,7.522060394287109,11.732574939727781
FD002,10,3025,0.039008264462809916,0.039008264462809916,0.5499727725982666,4.127889633178711,7.556777954101562
FD003,1,1392,0.010057471264367845,0.010057471264367816,0.1505394577980041,0.8704833984375,6.155493497848511
FD003,2,1422,0.030942334739803123,0.030942334739803096,0.17572119832038874,1.1229782104492188,6.684720754623413
FD003,3,1423,0.05411103302881237,0.054111033028812365,0.1785717904567718,1.169769287109375,6.81696081161499
FD003,4,1427,0.13314646110721795,0.13314646110721795,0.3644411563873291,3.639068603515625,8.784175872802734
FD003,5,1413,0.22151450813871199,0.22151450813871196,0.5486410856246948,6.992095947265625,11.251877784729004
FD003,6,1437,0.2748782185107863,0.27487821851078637,0.7621300220489502,11.489326477050781,14.857135772705078
FD003,7,1435,0.22648083623693382,0.2264808362369338,0.7932040691375732,12.06982421875,15.656763076782228
FD003,8,1415,0.16466431095406364,0.16466431095406361,0.7820972800254822,9.855575561523438,13.106548309326172
FD003,9,1430,0.13706293706293704,0.13706293706293707,0.6366753578186035,5.140769004821777,7.975170612335205
FD003,10,1462,0.04035567715458277,0.04035567715458276,0.350308358669281,2.2956491708755493,6.751724720001221
FD004,1,3320,0.011746987951807175,0.011746987951807229,0.35950592160224915,4.115653991699226,11.739216804504395
FD004,2,3403,0.018806935057302354,0.018806935057302382,0.4006384909152984,5.187301635742202,12.78201675415039
FD004,3,3428,0.0536756126021003,0.05367561260210035,0.4323626458644867,6.352973937988274,14.57056188583374
FD004,4,3402,0.0978835978835979,0.09788359788359788,0.46259887516498566,7.571674346923828,16.035950660705566
FD004,5,3388,0.17178276269185355,0.1717827626918536,0.6108475923538208,12.235092163085938,19.250519752502445
FD004,6,3435,0.2139737991266376,0.21397379912663755,0.7164798378944397,15.2294921875,21.96231269836425
FD004,7,3425,0.2543065693430657,0.25430656934306567,0.831080973148346,18.217468261718764,23.29250717163086
FD004,8,3405,0.19207048458149778,0.1920704845814978,0.8090901970863342,18.035327911376953,23.400859832763672
FD004,9,3426,0.07793345008756569,0.07793345008756568,0.5393793284893036,10.100914001464847,19.557510375976562
FD004,10,3498,0.032590051457976,0.032590051457975985,0.49009107053279877,6.589421749114992,13.369274139404297
