fd,seed,p33,p67,n_cohort_instances
FD001,0,180.0,213.0,5
FD001,1,188.47,214.53,4
FD001,2,176.35000000000002,202.0,8
FD001,3,185.0,216.53,5
FD001,4,186.41,213.53,5
FD002,0,183.15,221.0,9
FD002,1,177.0,209.0,14
FD002,2,184.0,219.7,12
FD002,3,187.15,218.85,11
FD002,4,184.0,220.85,10
FD003,0,195.0,259.0,5
FD003,1,193.47,267.59000000000003,4
FD003,2,199.47,257.59000000000003,5
FD003,3,193.47,276.59000000000003,2
FD003,4,196.47,250.77,6
FD004,0,205.0,280.0,9
FD004,1,202.84,273.16,8
FD004,2,205.0,272.16,7
FD004,3,197.0,270.32000000000005,10
FD004,4,195.68,256.48,11
