fd,method,convention,contrast,n_pairs,n_unique_engines,mean_diff,ci_lo_engine_block,ci_hi_engine_block,contains_zero_engine_block,ci_lo_instance,ci_hi_instance,contains_zero_instance
FD001,MC-Dropout,Fixed-fraction,middle-late,65,52,-0.12285434461095775,-0.18986645678154238,-0.06249483445791005,False,-0.17797405976171432,-0.07723934719021239,False
FD001,MC-Dropout,CUSUM,late-middle,61,49,-0.04404172369191059,-0.09465720441821723,0.006742036468840414,True,-0.08323585383178703,-0.00321524026512093,False
FD001,Split CP,Fixed-fraction,middle-late,65,52,-0.1292877579297581,-0.19776882724714537,-0.06810743518365156,False,-0.18424339466010686,-0.07904585154801966,False
FD001,Split CP,CUSUM,late-middle,61,49,-0.0595720715549183,-0.10954953704904034,-0.009262827839696692,False,-0.1012983993519883,-0.016477380732917206,False
FD002,MC-Dropout,Fixed-fraction,middle-late,165,129,-0.11871920899324646,-0.16434449543230872,-0.07677419718801506,False,-0.15889942705554527,-0.08086572672969755,False
FD002,MC-Dropout,CUSUM,late-middle,151,119,-0.06786053095339503,-0.10214627534016783,-0.03387859916179774,False,-0.09972382448849361,-0.03717577880486429,False
FD002,Split CP,Fixed-fraction,middle-late,165,129,-0.1145055493555495,-0.15904159226253736,-0.07229505613003749,False,-0.15656652955441325,-0.07522049146270993,False
FD002,Split CP,CUSUM,late-middle,151,119,-0.08627342796052519,-0.12386226655609754,-0.04918613896008427,False,-0.12038233439213626,-0.05227095186983509,False
FD003,MC-Dropout,Fixed-fraction,middle-late,65,52,-0.16764763124442683,-0.2520213845259761,-0.08139513332061292,False,-0.2361064600967126,-0.10000321403428447,False
FD003,MC-Dropout,CUSUM,late-middle,61,49,-0.144446799083054,-0.18080236836723634,-0.11022658565757376,False,-0.18009032764723035,-0.10925444190964444,False
FD003,Split CP,Fixed-fraction,middle-late,65,52,-0.17465249682994224,-0.2575725378688123,-0.087364356153676,False,-0.2463435046086999,-0.10296324626951095,False
FD003,Split CP,CUSUM,late-middle,61,49,-0.1580599645433427,-0.19730767698818893,-0.12075324172735376,False,-0.1979803760327393,-0.12065639282214798,False
FD004,MC-Dropout,Fixed-fraction,middle-late,160,123,-0.07712817897235849,-0.1192487918706651,-0.03850469289879917,False,-0.10963992829033077,-0.04674636535640904,False
FD004,MC-Dropout,CUSUM,late-middle,152,118,-0.11883558501365393,-0.1570634033649645,-0.08024811721660328,False,-0.15116876605187993,-0.08818458533341407,False
FD004,Split CP,Fixed-fraction,middle-late,160,123,-0.08908919251886178,-0.1342236874615163,-0.04572613279143269,False,-0.12527480121321508,-0.05590189208524186,False
FD004,Split CP,CUSUM,late-middle,152,118,-0.1516836615158585,-0.19389016386498376,-0.10875462557774138,False,-0.1850842401878211,-0.11878578194783697,False
