fd,method,early,middle,late,worst_stage
FD001,MC-Dropout,0.8921738525241121,0.966952834399643,0.9749851144930781,early
FD001,Split CP,0.8840860456210817,0.9578445047859941,0.9774868126402256,early
FD001,Mondrian CP (online),0.7878360975181145,0.9671405407043706,0.9749011040282513,early
FD001,Mondrian CP (split),0.8797955281115856,0.964094504785994,0.9810344903747273,early
FD002,MC-Dropout,0.8832289604183515,0.9504796777523654,0.9475838495289471,early
FD002,Split CP,0.862376535970665,0.9393015678579194,0.9343755461535815,early
FD002,Mondrian CP (online),0.8000443864922907,0.9241983795681592,0.8768958077343886,early
FD002,Mondrian CP (split),0.8606587857973385,0.9458206684877036,0.9522576654073882,early
FD003,MC-Dropout,0.8885004322419373,0.9361538608910316,0.935480142567116,early
FD003,Split CP,0.8698811937263873,0.9068849231763365,0.9137591056416086,early
FD003,Mondrian CP (online),0.7939406850625983,0.9082072827259633,0.9558733002154416,early
FD003,Mondrian CP (split),0.8706817865424399,0.9359255007867332,0.925359791711585,early
FD004,MC-Dropout,0.9040977141929769,0.924490235537498,0.9616236187322584,early
FD004,Split CP,0.8766090493691273,0.9080577554719034,0.9518416386523195,early
FD004,Mondrian CP (online),0.8003701772223348,0.8921271272100799,0.9482641765237353,early
FD004,Mondrian CP (split),0.8505107868592127,0.920649261572593,0.9619918540408902,early
