fd,method,n_cohort_instances,early,middle,late,worst_stage
FD001,MC-Dropout,61,0.9775716087191497,0.9215149805193199,0.8774732568274094,late
FD001,Split CP,61,0.9621509637903081,0.9236415331159786,0.8640694615610603,late
FD001,Mondrian CP (online),61,0.8523479819863147,0.7844306425707624,0.7967171578557176,middle
FD001,Mondrian CP (split),61,0.9458947513431603,0.877858055528192,0.8748857772826354,late
FD002,MC-Dropout,151,0.9829680668452181,0.9177053303680853,0.8498447994146903,late
FD002,Split CP,151,0.9800856295843351,0.907205106385204,0.8209316784246787,late
FD002,Mondrian CP (online),151,0.8316659092400237,0.8004657513757383,0.7935673492322699,late
FD002,Mondrian CP (split),151,0.9177738386471929,0.8441318234233479,0.8647714197696617,middle
FD003,MC-Dropout,61,0.998274374460742,0.9786375904796957,0.8341907913966418,late
FD003,Split CP,61,0.9955421340235835,0.9682873240850508,0.810227359541708,late
FD003,Mondrian CP (online),61,0.8694423498455861,0.7542734256807297,0.7846845015260282,middle
FD003,Mondrian CP (split),61,0.9696687740943724,0.8900193014740163,0.8486835820944693,late
FD004,MC-Dropout,152,0.9933196380278762,0.9774627181118002,0.8586271330981464,late
FD004,Split CP,152,0.9892409988221099,0.9693388014668829,0.8176551399510243,late
FD004,Mondrian CP (online),152,0.8252131036889468,0.8060817637573156,0.7840369824191974,late
FD004,Mondrian CP (split),152,0.8650494162648679,0.8405689143269144,0.8533445180386007,middle
