fd,convention,method,stage,ecr_unbounded_as_covered,ecr_finite_only,unbounded_rate,n_inf,n_total
FD001,Fixed-fraction,MC-Dropout,early,,0.920343027135139,0.0,0,3774
FD001,Fixed-fraction,MC-Dropout,middle,,0.8213537059572281,0.0,0,3930
FD001,Fixed-fraction,MC-Dropout,late,,0.9444481171034126,0.0,0,3840
FD001,Fixed-fraction,Split CP,early,,0.9142432246218293,0.0,0,3774
FD001,Fixed-fraction,Split CP,middle,,0.8124537261877394,0.0,0,3930
FD001,Fixed-fraction,Split CP,late,,0.9409605709189599,0.0,0,3840
FD001,Fixed-fraction,Mondrian CP (online),early,0.7847018059233156,0.7847018059233156,0.0,0,3774
FD001,Fixed-fraction,Mondrian CP (online),middle,0.6871150110420161,0.6871150110420161,0.0,0,3930
FD001,Fixed-fraction,Mondrian CP (online),late,0.942574983550034,0.942574983550034,0.0,0,3840
FD001,Fixed-fraction,Mondrian CP (frozen),early,0.7607339904122243,0.7605144062497321,0.0005299417064122947,2,3774
FD001,Fixed-fraction,Mondrian CP (frozen),middle,0.6996367094713116,0.6989129708443471,0.011959287531806615,47,3930
FD001,Fixed-fraction,Mondrian CP (frozen),late,0.8888930538866934,0.8885728014481048,0.04479166666666667,172,3840
FD001,CUSUM,MC-Dropout,early,,0.9742406311637082,0.0,0,1142
FD001,CUSUM,MC-Dropout,middle,,0.9597552447552449,0.0,0,1167
FD001,CUSUM,MC-Dropout,late,,0.8804479525117036,0.0,0,9235
FD001,CUSUM,Split CP,early,,0.9614201183431952,0.0,0,1142
FD001,CUSUM,Split CP,middle,,0.9685652381806228,0.0,0,1167
FD001,CUSUM,Split CP,late,,0.8735032135275319,0.0,0,9235
FD001,CUSUM,Mondrian CP (online),early,0.8507196385684122,0.8507196385684122,0.0,0,1142
FD001,CUSUM,Mondrian CP (online),middle,0.8114850617791795,0.8114850617791795,0.0,0,1167
FD001,CUSUM,Mondrian CP (online),late,0.7994830073007695,0.7994830073007695,0.0,0,9235
FD001,CUSUM,Mondrian CP (frozen),early,0.7147930687918288,0.7109064291157153,0.04115586690017513,47,1142
FD001,CUSUM,Mondrian CP (frozen),middle,0.837391406984167,0.8372288737068798,0.07712082262210797,90,1167
FD001,CUSUM,Mondrian CP (frozen),late,0.7897221906105422,0.7874852920399369,0.009095831077422848,84,9235
FD001,TrainPct,MC-Dropout,early,,0.8915562149664323,0.0,0,9522
FD001,TrainPct,MC-Dropout,middle,,0.966952834399643,0.0,0,1144
FD001,TrainPct,MC-Dropout,late,,0.9740231135310772,0.0,0,878
FD001,TrainPct,Split CP,early,,0.8849024110080062,0.0,0,9522
FD001,TrainPct,Split CP,middle,,0.9578445047859941,0.0,0,1144
FD001,TrainPct,Split CP,late,,0.977967813121226,0.0,0,878
FD001,TrainPct,Mondrian CP (online),early,0.7833053342498919,0.7833053342498919,0.0,0,9522
FD001,TrainPct,Mondrian CP (online),middle,0.9665719524762079,0.9665719524762079,0.0,0,1144
FD001,TrainPct,Mondrian CP (online),late,0.9749011040282513,0.9749011040282513,0.0,0,878
FD001,TrainPct,Mondrian CP (frozen),early,0.7683639821075503,0.7658419795472775,0.009136735979836169,87,9522
FD001,TrainPct,Mondrian CP (frozen),middle,0.9363908831718809,0.9363908831718809,0.03671328671328671,42,1144
FD001,TrainPct,Mondrian CP (frozen),late,0.9386598457795032,0.9386598457795032,0.10478359908883828,92,878
FD001,Matched,MC-Dropout,early,,0.9675615887380594,0.0,0,1110
FD001,Matched,MC-Dropout,middle,,0.91254923796005,0.0,0,1167
FD001,Matched,MC-Dropout,late,,0.8835220888493116,0.0,0,9267
FD001,Matched,Split CP,early,,0.9577677224736048,0.0,0,1110
FD001,Matched,Split CP,middle,,0.9164367195874698,0.0,0,1167
FD001,Matched,Split CP,late,,0.8764496862964178,0.0,0,9267
FD001,Matched,Mondrian CP (online),early,0.8357244278570785,0.8357244278570785,0.0,0,1110
FD001,Matched,Mondrian CP (online),middle,0.7944179006540284,0.7944179006540284,0.0,0,1167
FD001,Matched,Mondrian CP (online),late,0.8012300060701848,0.8012300060701848,0.0,0,9267
FD001,Matched,Mondrian CP (frozen),early,0.7353688047861195,0.7353688047861195,0.0,0,1110
FD001,Matched,Mondrian CP (frozen),middle,0.7751283821098062,0.7751283821098062,0.0,0,1167
FD001,Matched,Mondrian CP (frozen),late,0.7888789903319751,0.784811595941429,0.023848063019315854,221,9267
FD002,Fixed-fraction,MC-Dropout,early,,0.9161448654947517,0.0,0,9603
FD002,Fixed-fraction,MC-Dropout,middle,,0.8034662679708645,0.0,0,9970
FD002,Fixed-fraction,MC-Dropout,late,,0.9226025836480861,0.0,0,9770
FD002,Fixed-fraction,Split CP,early,,0.9035650555601408,0.0,0,9603
FD002,Fixed-fraction,Split CP,middle,,0.7835957651825866,0.0,0,9970
FD002,Fixed-fraction,Split CP,late,,0.8974037022986043,0.0,0,9770
FD002,Fixed-fraction,Mondrian CP (online),early,0.809854977979404,0.809854977979404,0.0,0,9603
FD002,Fixed-fraction,Mondrian CP (online),middle,0.7187562875333033,0.7187562875333033,0.0,0,9970
FD002,Fixed-fraction,Mondrian CP (online),late,0.9194038236533795,0.9194038236533795,0.0,0,9770
FD002,Fixed-fraction,Mondrian CP (frozen),early,0.7722886669872405,0.7722783889667872,0.00031240237425804435,3,9603
FD002,Fixed-fraction,Mondrian CP (frozen),middle,0.6441508888879953,0.64266480773149,0.007723169508525577,77,9970
FD002,Fixed-fraction,Mondrian CP (frozen),late,0.7814178585159172,0.7716961264739859,0.04994882292732856,488,9770
FD002,CUSUM,MC-Dropout,early,,0.9808311058208677,0.0,0,3221
FD002,CUSUM,MC-Dropout,middle,,0.9727666748913555,0.0,0,3309
FD002,CUSUM,MC-Dropout,late,,0.8685501467648343,0.0,0,22813
FD002,CUSUM,Split CP,early,,0.9775270173381202,0.0,0,3221
FD002,CUSUM,Split CP,middle,,0.9685925756752519,0.0,0,3309
FD002,CUSUM,Split CP,late,,0.846640444098868,0.0,0,22813
FD002,CUSUM,Mondrian CP (online),early,0.8507677647872004,0.8507677647872004,0.0,0,3221
FD002,CUSUM,Mondrian CP (online),middle,0.8350058695127223,0.8350058695127223,0.0,0,3309
FD002,CUSUM,Mondrian CP (online),late,0.8079881111778228,0.8079881111778228,0.0,0,22813
FD002,CUSUM,Mondrian CP (frozen),early,0.8602755269274942,0.8588807536642341,0.022042843837317604,71,3221
FD002,CUSUM,Mondrian CP (frozen),middle,0.816946462202254,0.8162353811769557,0.019038984587488667,63,3309
FD002,CUSUM,Mondrian CP (frozen),late,0.7200132544559343,0.7153688344939282,0.019024240564590365,434,22813
FD002,TrainPct,MC-Dropout,early,,0.8820654649772219,0.0,0,23974
FD002,TrainPct,MC-Dropout,middle,,0.9502317233759707,0.0,0,2783
FD002,TrainPct,MC-Dropout,late,,0.946934928091982,0.0,0,2586
FD002,TrainPct,Split CP,early,,0.8629831930837788,0.0,0,23974
FD002,TrainPct,Split CP,middle,,0.9393015678579194,0.0,0,2783
FD002,TrainPct,Split CP,late,,0.9340254060975592,0.0,0,2586
FD002,TrainPct,Mondrian CP (online),early,0.806315679483371,0.806315679483371,0.0,0,23974
FD002,TrainPct,Mondrian CP (online),middle,0.9341892526755129,0.9341892526755129,0.0,0,2783
FD002,TrainPct,Mondrian CP (online),late,0.8851254253390061,0.8851254253390061,0.0,0,2586
FD002,TrainPct,Mondrian CP (frozen),early,0.7246932261250458,0.7237267869714532,0.00479686326854092,115,23974
FD002,TrainPct,Mondrian CP (frozen),middle,0.8429018095726833,0.8429018095726833,0.0064678404599353215,18,2783
FD002,TrainPct,Mondrian CP (frozen),late,0.8939424746829924,0.8623578747345471,0.16821345707656613,435,2586
FD002,Matched,MC-Dropout,early,,0.9667352163357987,0.0,0,3137
FD002,Matched,MC-Dropout,middle,,0.9204380688101267,0.0,0,3311
FD002,Matched,MC-Dropout,late,,0.8624156439310375,0.0,0,22895
FD002,Matched,Split CP,early,,0.9588825560673907,0.0,0,3137
FD002,Matched,Split CP,middle,,0.9046519974708183,0.0,0,3311
FD002,Matched,Split CP,late,,0.8410979267648782,0.0,0,22895
FD002,Matched,Mondrian CP (online),early,0.8187434001404539,0.8187434001404539,0.0,0,3137
FD002,Matched,Mondrian CP (online),middle,0.8377711828317488,0.8377711828317488,0.0,0,3311
FD002,Matched,Mondrian CP (online),late,0.811673518815099,0.811673518815099,0.0,0,22895
FD002,Matched,Mondrian CP (frozen),early,0.7971416397008706,0.7971416397008706,0.0,0,3137
FD002,Matched,Mondrian CP (frozen),middle,0.7732084911973142,0.7732084911973142,0.0,0,3311
FD002,Matched,Mondrian CP (frozen),late,0.7168002021765548,0.7102028882843984,0.024808910242411008,568,22895
FD003,Fixed-fraction,MC-Dropout,early,,0.9617194170627668,0.0,0,4671
FD003,Fixed-fraction,MC-Dropout,middle,,0.7574889497642123,0.0,0,4849
