fd,convention,method,stage,ecr_finite_only,unbounded_rate,n_inf,n_total
FD001,Fixed-fraction,MC-Dropout,early,0.920343027135139,0.0,0,3774
FD001,Fixed-fraction,MC-Dropout,middle,0.8224570775411489,0.0,0,3930
FD001,Fixed-fraction,MC-Dropout,late,0.9453114221521066,0.0,0,3840
FD001,Fixed-fraction,Split CP,early,0.9139824684288697,0.0,0,3774
FD001,Fixed-fraction,Split CP,middle,0.8116662522327646,0.0,0,3930
FD001,Fixed-fraction,Split CP,late,0.9409605709189599,0.0,0,3840
FD001,Fixed-fraction,Mondrian CP (online),early,0.8033956993831513,0.0,0,3774
FD001,Fixed-fraction,Mondrian CP (online),middle,0.6827978843630892,0.0,0,3930
FD001,Fixed-fraction,Mondrian CP (online),late,0.9444211640003782,0.0,0,3840
FD001,Fixed-fraction,Mondrian CP (split),early,0.8900169700692052,0.0,0,3774
FD001,Fixed-fraction,Mondrian CP (split),middle,0.8208349497773881,0.0,0,3930
FD001,Fixed-fraction,Mondrian CP (split),late,0.94914645414424,0.0,0,3840
FD001,CUSUM,MC-Dropout,early,0.9669290253905639,0.0,0,1703
FD001,CUSUM,MC-Dropout,middle,0.9225290425177303,0.0,0,1728
FD001,CUSUM,MC-Dropout,late,0.8774732568274094,0.0,0,8113
FD001,CUSUM,Split CP,early,0.9580413888106195,0.0,0,1703
FD001,CUSUM,Split CP,middle,0.926348092162572,0.0,0,1728
FD001,CUSUM,Split CP,late,0.864455340188893,0.0,0,8113
FD001,CUSUM,Mondrian CP (online),early,0.8502661688498349,0.0,0,1703
FD001,CUSUM,Mondrian CP (online),middle,0.793601398932896,0.0,0,1728
FD001,CUSUM,Mondrian CP (online),late,0.7967171578557176,0.0,0,8113
FD001,CUSUM,Mondrian CP (split),early,0.9332095573272043,0.0,0,1703
FD001,CUSUM,Mondrian CP (split),middle,0.8835174598561715,0.0,0,1728
FD001,CUSUM,Mondrian CP (split),late,0.8756263237741716,0.0,0,8113
FD001,TrainPct,MC-Dropout,early,0.8921738525241121,0.0,0,9522
FD001,TrainPct,MC-Dropout,middle,0.966952834399643,0.0,0,1144
FD001,TrainPct,MC-Dropout,late,0.9749851144930781,0.0,0,878
FD001,TrainPct,Split CP,early,0.8844859726221738,0.0,0,9522
FD001,TrainPct,Split CP,middle,0.9578445047859941,0.0,0,1144
FD001,TrainPct,Split CP,late,0.977967813121226,0.0,0,878
FD001,TrainPct,Mondrian CP (online),early,0.7878360975181145,0.0,0,9522
FD001,TrainPct,Mondrian CP (online),middle,0.9671405407043706,0.0,0,1144
FD001,TrainPct,Mondrian CP (online),late,0.9749011040282513,0.0,0,878
FD001,TrainPct,Mondrian CP (split),early,0.8809381847381133,0.0,0,9522
FD001,TrainPct,Mondrian CP (split),middle,0.964094504785994,0.0,0,1144
FD001,TrainPct,Mondrian CP (split),late,0.9814370668642604,0.0,0,878
FD001,Matched,MC-Dropout,early,0.9647625309163771,0.0,0,1673
FD001,Matched,MC-Dropout,middle,0.8824345940796441,0.0,0,1726
FD001,Matched,MC-Dropout,late,0.8837122082134486,0.0,0,8145
FD001,Matched,Split CP,early,0.9576043329889483,0.0,0,1673
FD001,Matched,Split CP,middle,0.8782134659462595,0.0,0,1726
FD001,Matched,Split CP,late,0.8758069797195566,0.0,0,8145
FD001,Matched,Mondrian CP (online),early,0.8379119474232539,0.0,0,1673
FD001,Matched,Mondrian CP (online),middle,0.7696265678522938,0.0,0,1726
FD001,Matched,Mondrian CP (online),late,0.8116781063903082,0.0,0,8145
FD001,Matched,Mondrian CP (split),early,0.9384153168768553,0.0,0,1673
FD001,Matched,Mondrian CP (split),middle,0.8477153348622747,0.0,0,1726
FD001,Matched,Mondrian CP (split),late,0.8834338735926751,0.0,0,8145
FD002,Fixed-fraction,MC-Dropout,early,0.9173560150817328,0.0,0,9603
FD002,Fixed-fraction,MC-Dropout,middle,0.8048192576568485,0.0,0,9970
FD002,Fixed-fraction,MC-Dropout,late,0.923538466650095,0.0,0,9770
FD002,Fixed-fraction,Split CP,early,0.9040159055231858,0.0,0,9603
FD002,Fixed-fraction,Split CP,middle,0.7824006827015597,0.0,0,9970
FD002,Fixed-fraction,Split CP,late,0.8970505322014093,0.0,0,9770
FD002,Fixed-fraction,Mondrian CP (online),early,0.7986111371128076,0.0006248047485160887,6,9603
FD002,Fixed-fraction,Mondrian CP (online),middle,0.7275330407715308,0.0031093279839518556,31,9970
FD002,Fixed-fraction,Mondrian CP (online),late,0.8999343273966192,0.0014329580348004093,14,9770
