fd,convention,method,stage,ecr_unbounded_as_covered,ecr_finite_only,unbounded_rate,n_inf,n_total
FD001,Fixed-fraction,Mondrian CP (online),early,0.8033956993831513,0.8033956993831513,0.0,0,3774
FD001,Fixed-fraction,Mondrian CP (online),middle,0.6827978843630892,0.6827978843630892,0.0,0,3930
FD001,Fixed-fraction,Mondrian CP (online),late,0.9444211640003782,0.9444211640003782,0.0,0,3840
FD001,Fixed-fraction,Mondrian CP (split),early,0.888683669535393,0.888683669535393,0.0,0,3774
FD001,Fixed-fraction,Mondrian CP (split),middle,0.8196714074373752,0.8196714074373752,0.0,0,3930
FD001,Fixed-fraction,Mondrian CP (split),late,0.9485054285032143,0.9485054285032143,0.0,0,3840
FD001,CUSUM,Mondrian CP (online),early,0.8502661688498349,0.8502661688498349,0.0,0,1703
FD001,CUSUM,Mondrian CP (online),middle,0.793601398932896,0.793601398932896,0.0,0,1728
FD001,CUSUM,Mondrian CP (online),late,0.7967171578557176,0.7967171578557176,0.0,0,8113
FD001,CUSUM,Mondrian CP (split),early,0.9320733079556609,0.9320733079556609,0.0,0,1703
FD001,CUSUM,Mondrian CP (split),middle,0.8829869558773916,0.8829869558773916,0.0,0,1728
FD001,CUSUM,Mondrian CP (split),late,0.8748857772826354,0.8748857772826354,0.0,0,8113
FD001,TrainPct,Mondrian CP (online),early,0.7878360975181145,0.7878360975181145,0.0,0,9522
FD001,TrainPct,Mondrian CP (online),middle,0.9671405407043706,0.9671405407043706,0.0,0,1144
FD001,TrainPct,Mondrian CP (online),late,0.9749011040282513,0.9749011040282513,0.0,0,878
FD001,TrainPct,Mondrian CP (split),early,0.8797955281115856,0.8797955281115856,0.0,0,9522
FD001,TrainPct,Mondrian CP (split),middle,0.964094504785994,0.964094504785994,0.0,0,1144
FD001,TrainPct,Mondrian CP (split),late,0.9810344903747273,0.9810344903747273,0.0,0,878
FD001,Matched,Mondrian CP (online),early,0.8379119474232539,0.8379119474232539,0.0,0,1673
FD001,Matched,Mondrian CP (online),middle,0.7696265678522938,0.7696265678522938,0.0,0,1726
FD001,Matched,Mondrian CP (online),late,0.8116781063903082,0.8116781063903082,0.0,0,8145
FD001,Matched,Mondrian CP (split),early,0.937823600900524,0.937823600900524,0.0,0,1673
FD001,Matched,Mondrian CP (split),middle,0.8459347080816478,0.8459347080816478,0.0,0,1726
FD001,Matched,Mondrian CP (split),late,0.8824504255613917,0.8824504255613917,0.0,0,8145
