fd,method,n_cohort_instances,early,middle,late,worst_stage
FD001,MC-Dropout,27,0.9546221636998937,0.9439549339549339,0.9749851144930781,middle
FD001,Split CP,27,0.9464166317965866,0.9266182120348787,0.9774868126402256,middle
FD001,Mondrian CP (online),27,0.8375987041564207,0.9444837021688874,0.9749011040282513,early
FD001,Mondrian CP (split),27,0.938634899144553,0.9374978416645084,0.9810344903747273,middle
FD002,MC-Dropout,56,0.9487877306109029,0.9133235337872436,0.9475838495289471,middle
FD002,Split CP,56,0.9411104158908344,0.9014867762347601,0.9343755461535815,middle
FD002,Mondrian CP (online),56,0.8603894974826257,0.9085067390258923,0.8768958077343886,early
FD002,Mondrian CP (split),56,0.9419734768804776,0.9226920252625899,0.9522576654073882,middle
FD003,MC-Dropout,22,0.969226520221589,0.9066919767285888,0.935480142567116,middle
FD003,Split CP,22,0.9542185812280487,0.8628522292120651,0.9137591056416086,middle
FD003,Mondrian CP (online),22,0.8863193896305709,0.8234306478197994,0.9558733002154416,middle
FD003,Mondrian CP (split),22,0.9543924151175932,0.9002089577656932,0.925359791711585,middle
FD004,MC-Dropout,45,0.9708516996695841,0.8554589131622828,0.9616236187322584,middle
FD004,Split CP,45,0.9618877602344417,0.824169573759724,0.9518416386523195,middle
FD004,Mondrian CP (online),45,0.8697922626983454,0.835734880661894,0.9482641765237353,middle
FD004,Mondrian CP (split),45,0.9476102597004048,0.8514246426469115,0.9619918540408902,middle
