fd,decile,n,failure_rate,exceed_qhat_frac,median_s_t,median_abs_err,median_sigma
FD001,1,1120,0.0267857142857143,0.026785714285714284,0.33096879720687866,3.726840972900405,11.143569946289062
FD001,2,1148,0.068815331010453,0.06881533101045297,0.4976961314678192,6.58348464965821,12.67805814743042
FD001,3,1161,0.09388458225667529,0.09388458225667529,0.5807061791419983,8.031051635742202,13.886735916137695
FD001,4,1153,0.11708586296617518,0.1170858629661752,0.6488622426986694,9.600173950195327,15.603480339050291
FD001,5,1140,0.21403508771929824,0.21403508771929824,1.0357412099838257,15.959064483642578,16.812581062316895
FD001,6,1166,0.176672384219554,0.17667238421955403,0.7909111976623535,12.995014190673828,16.957486152648926
FD001,7,1157,0.1235955056179775,0.12359550561797752,0.7375760674476624,10.278099060058594,15.291910171508787
FD001,8,1157,0.101123595505618,0.10112359550561797,0.5506453514099121,5.614997863769531,9.578289031982422
FD001,9,1152,0.05902777777777779,0.059027777777777776,0.5274468660354614,3.6103649139404332,6.663116931915283
FD001,10,1190,0.0008403361344537785,0.0008403361344537816,0.30347773432731623,1.8440861701965314,6.054426908493042
FD002,1,2840,0.03169014084507038,0.03169014084507042,0.5374903678894043,7.927387237548842,14.921871185302734
FD002,2,2924,0.06908344733242133,0.06908344733242135,0.5743297934532166,9.234134674072259,15.82287073135376
FD002,3,2946,0.10964019008825521,0.10964019008825526,0.5950609147548676,10.140457153320298,16.565908432006836
FD002,4,2924,0.1456908344733242,0.1456908344733242,0.6620618104934692,12.75986099243164,19.06429576873779
FD002,5,2916,0.16460905349794241,0.1646090534979424,0.7325286567211151,15.059574127197273,20.884990692138672
FD002,6,2952,0.21883468834688347,0.21883468834688347,0.8841313719749451,19.754856109619134,22.759313583374023
FD002,7,2946,0.17515274949083504,0.17515274949083504,0.8431606590747833,19.412109375,23.17375087738037
FD002,8,2924,0.15047879616963067,0.15047879616963064,0.7476379871368408,13.821697235107418,19.7052001953125
FD002,9,2946,0.08418194161575021,0.08418194161575017,0.6496452689170837,7.522060394287109,11.668141841888428
FD002,10,3025,0.03933884297520662,0.03933884297520661,0.5550029277801514,4.127889633178711,7.492329597473144
FD003,1,1392,0.010057471264367845,0.010057471264367816,0.1524884402751922,0.8704833984375,6.04062557220459
FD003,2,1422,0.030942334739803123,0.030942334739803096,0.17846945673227305,1.1229782104492188,6.594162225723267
FD003,3,1423,0.05411103302881237,0.054111033028812365,0.1819575875997543,1.169769287109375,6.728648662567139
FD003,4,1427,0.1338472319551507,0.13384723195515066,0.3682976067066192,3.639068603515625,8.685417175292969
FD003,5,1413,0.22151450813871199,0.22151450813871196,0.5533624291419983,6.992095947265625,11.176082611083984
FD003,6,1437,0.2727905358385525,0.27279053583855256,0.7641066908836365,11.489326477050781,14.8202486038208
FD003,7,1435,0.22578397212543555,0.22578397212543555,0.7955772876739502,12.06982421875,15.618061065673828
FD003,8,1415,0.16395759717314484,0.16395759717314487,0.7845167517662048,9.855575561523438,13.052212715148926
FD003,9,1430,0.13636363636363635,0.13636363636363635,0.6386970281600952,5.140769004821777,7.933983325958252
FD003,10,1462,0.041039671682626566,0.04103967168262654,0.35222990810871124,2.2956491708755493,6.717814683914185
FD004,1,3320,0.011445783132530085,0.01144578313253012,0.3628232777118683,4.115653991699226,11.618751525878906
FD004,2,3403,0.018806935057302354,0.018806935057302382,0.4037794172763824,5.187301635742202,12.675490379333496
FD004,3,3428,0.05396732788798131,0.05396732788798133,0.43526801466941833,6.352973937988274,14.475311279296875
FD004,4,3402,0.09876543209876543,0.09876543209876543,0.46576540172100067,7.571674346923828,15.955324172973633
FD004,5,3388,0.17237308146399055,0.17237308146399055,0.6135836839675903,12.235092163085938,19.176974296569824
FD004,6,3435,0.21368267831149923,0.21368267831149929,0.7190297245979309,15.2294921875,21.92064666748047
FD004,7,3425,0.2545985401459854,0.2545985401459854,0.8340123891830444,18.217468261718764,23.248271942138672
FD004,8,3405,0.1914831130690161,0.19148311306901616,0.8105393052101135,18.035327911376953,23.36045455932617
FD004,9,3426,0.07822533566841794,0.07822533566841798,0.5416033565998077,10.100914001464847,19.51608657836914
FD004,10,3498,0.03287592910234416,0.032875929102344194,0.4924066364765167,6.589421749114992,13.318806648254395
