fd,fixed_stage,cusum_stage,proportion
FD001,early,early,0.2861685214626391
FD001,early,middle,0.24827768945416004
FD001,early,late,0.46555378908320083
FD001,middle,early,0.015776081424936386
FD001,middle,middle,0.028498727735368958
FD001,middle,late,0.9557251908396946
FD001,late,early,0.0
FD001,late,middle,0.030729166666666665
FD001,late,late,0.9692708333333333
FD002,early,early,0.31021555763823805
FD002,early,middle,0.22805373320837238
FD002,early,late,0.46173070915338954
FD002,middle,early,0.024272818455366097
FD002,middle,middle,0.06559679037111334
FD002,middle,late,0.9101303911735206
FD002,late,early,0.0
FD002,late,middle,0.04759467758444217
FD002,late,late,0.9524053224155579
FD003,early,early,0.29137229715264396
FD003,early,middle,0.26140012845215155
FD003,early,late,0.44722757439520444
FD003,middle,early,0.004743246030109301
FD003,middle,middle,0.03114044132810889
FD003,middle,late,0.9641163126417818
FD003,late,early,0.0
FD003,late,middle,0.00950168918918919
FD003,late,late,0.9904983108108109
FD004,early,early,0.292966306193583
FD004,early,middle,0.20975958530699795
FD004,early,late,0.49727410849941905
FD004,middle,early,0.010870502976447243
FD004,middle,middle,0.0773013544991804
FD004,middle,late,0.9118281425243724
FD004,late,early,0.0
FD004,late,middle,0.021762114537444935
FD004,late,late,0.9782378854625551
