fd,convention,stage,n_engines,n_timepoints,timepoint_proportion,mondrian_online_n_inf,mondrian_online_denom,mondrian_frozen_n_inf,mondrian_frozen_denom
FD001,Fixed-fraction,early,65,3774,0.3269230769230769,0,3774,2,3774
FD001,Fixed-fraction,middle,65,3930,0.3404365904365904,0,3930,47,3930
FD001,Fixed-fraction,late,65,3840,0.33264033264033266,0,3840,172,3840
FD001,CUSUM,early,65,1142,0.09892584892584892,0,1142,47,1142
FD001,CUSUM,middle,65,1167,0.10109147609147609,0,1167,90,1167
FD001,CUSUM,late,65,9235,0.799982674982675,0,9235,84,9235
FD001,TrainPct,early,65,9522,0.8248440748440748,0,9522,87,9522
FD001,TrainPct,middle,47,1144,0.0990990990990991,0,1144,42,1144
FD001,TrainPct,late,27,878,0.07605682605682605,0,878,92,878
FD001,Matched,early,65,1110,0.09615384615384616,0,1110,0,1110
FD001,Matched,middle,65,1167,0.10109147609147609,0,1167,0,1167
FD001,Matched,late,65,9267,0.8027546777546778,0,9267,221,9267
FD002,Fixed-fraction,early,165,9603,0.32726715059809836,0,9603,3,9603
FD002,Fixed-fraction,middle,165,9970,0.3397743925297345,0,9970,77,9970
FD002,Fixed-fraction,late,165,9770,0.33295845687216713,0,9770,488,9770
FD002,CUSUM,early,165,3221,0.10977064376512286,0,3221,71,3221
FD002,CUSUM,middle,165,3309,0.11276965545445251,0,3309,63,3309
FD002,CUSUM,late,165,22813,0.7774597007804246,0,22813,434,22813
FD002,TrainPct,early,165,23974,0.8170262072726033,0,23974,115,23974
FD002,TrainPct,middle,109,2783,0.09484374467505027,0,2783,18,2783
FD002,TrainPct,late,56,2586,0.08813004805234638,0,2586,435,2586
FD002,Matched,early,165,3137,0.10690795078894455,0,3137,0,3137
FD002,Matched,middle,165,3311,0.11283781481102818,0,3311,0,3311
FD002,Matched,late,165,22895,0.7802542344000273,0,22895,568,22895
FD003,Fixed-fraction,early,65,4671,0.32765151515151514,0,4671,55,4671
FD003,Fixed-fraction,middle,65,4849,0.34013748597081933,0,4849,10,4849
FD003,Fixed-fraction,late,65,4736,0.33221099887766553,0,4736,741,4736
FD003,CUSUM,early,65,1384,0.09708193041526375,0,1384,13,1384
FD003,CUSUM,middle,65,1417,0.09939674523007856,0,1417,42,1417
FD003,CUSUM,late,65,11455,0.8035213243546577,0,11455,751,11455
FD003,TrainPct,early,65,10348,0.7258698092031426,0,10348,55,10348
FD003,TrainPct,middle,43,2084,0.14618406285072952,0,2084,0,2084
FD003,TrainPct,late,22,1824,0.12794612794612795,0,1824,751,1824
FD003,Matched,early,65,1353,0.09490740740740741,0,1353,0,1353
FD003,Matched,middle,65,1413,0.09911616161616162,0,1413,11,1413
FD003,Matched,late,65,11490,0.805976430976431,0,11490,795,11490
FD004,Fixed-fraction,early,160,11189,0.3278347494872546,0,11189,108,11189
FD004,Fixed-fraction,middle,160,11591,0.3396132434808087,0,11591,439,11591
FD004,Fixed-fraction,late,160,11350,0.3325520070319367,0,11350,2659,11350
FD004,CUSUM,early,160,3404,0.09973630237327864,0,3404,173,3404
FD004,CUSUM,middle,160,3490,0.10225607969528275,0,3490,279,3490
FD004,CUSUM,late,160,27236,0.7980076179314386,0,27236,2754,27236
FD004,TrainPct,early,160,25908,0.7590975681218869,0,25908,298,25908
FD004,TrainPct,middle,94,4812,0.14099033108702022,0,4812,218,4812
FD004,TrainPct,late,45,3410,0.09991210079109288,0,3410,2690,3410
FD004,Matched,early,160,3320,0.09727512452387929,0,3320,0,3320
FD004,Matched,middle,160,3490,0.10225607969528275,0,3490,30,3490
FD004,Matched,late,160,27320,0.800468795780838,0,27320,3176,27320
