fd,method,early,middle,late,worst_stage
FD001,MC-Dropout,0.9675615887380594,0.91254923796005,0.8835220888493116,late
FD001,Split CP,0.9577677224736048,0.9164367195874698,0.8764496862964178,late
FD001,Mondrian CP (online),0.8357244278570785,0.7944179006540284,0.8012300060701848,middle
FD001,Mondrian CP (frozen),0.7353688047861195,0.7751283821098062,0.784811595941429,early
FD002,MC-Dropout,0.9667352163357987,0.9204380688101267,0.8624156439310375,late
FD002,Split CP,0.9588825560673907,0.9046519974708183,0.8410979267648782,late
FD002,Mondrian CP (online),0.8187434001404539,0.8377711828317488,0.811673518815099,late
FD002,Mondrian CP (frozen),0.7971416397008706,0.7732084911973142,0.7102028882843984,late
FD003,MC-Dropout,0.9927405927405927,0.9743706293706292,0.8553070212346789,late
FD003,Split CP,0.9872460872460872,0.9608724319159102,0.8316751778703396,late
FD003,Mondrian CP (online),0.7919190244455386,0.8577004645357399,0.7981736434681039,early
FD003,Mondrian CP (frozen),0.830103570955902,0.8912469949016059,0.8217923008271815,late
FD004,MC-Dropout,0.9925923049356488,0.9791332148243914,0.8758579574378043,late
FD004,Split CP,0.9869109525822953,0.9713274841988078,0.8428135464642533,late
FD004,Mondrian CP (online),0.8260495356727209,0.8744168074896674,0.8017850771893192,late
FD004,Mondrian CP (frozen),0.8249653260617453,0.8651538620429626,0.7786861936149283,late
