fd,method,convention,contrast,n_engines,mean_diff,ci_lo,ci_hi
FD001,MC-Dropout,Fixed-fraction,middle-late,65,-0.12309441114618437,-0.1771868312096756,-0.07373329809376934
FD001,MC-Dropout,CUSUM,late-middle,65,-0.07930729224354122,-0.11609104194955104,-0.03770502784929624
FD001,Split CP,Fixed-fraction,middle-late,65,-0.12850684473122073,-0.18454999839995315,-0.07739428410835972
FD001,Split CP,CUSUM,late-middle,65,-0.0950620246530909,-0.13145467615610681,-0.05863789498705356
FD002,MC-Dropout,Fixed-fraction,middle-late,165,-0.11913631567722198,-0.15955910441240972,-0.08020879772056069
FD002,MC-Dropout,CUSUM,late-middle,165,-0.10421652812652119,-0.1348247118217458,-0.07517426993835997
FD002,Split CP,Fixed-fraction,middle-late,165,-0.11380793711601768,-0.15603150190834528,-0.07712925572615813
FD002,Split CP,CUSUM,late-middle,165,-0.12195213157638395,-0.15458117144515432,-0.09088046413465115
FD003,MC-Dropout,Fixed-fraction,middle-late,65,-0.16782783905174237,-0.24102713223495997,-0.09450283347566477
FD003,MC-Dropout,CUSUM,late-middle,65,-0.13687382128262168,-0.1728817850106432,-0.10092337516256121
FD003,Split CP,Fixed-fraction,middle-late,65,-0.17384597351109712,-0.243217074935296,-0.10224111228458353
FD003,Split CP,CUSUM,late-middle,65,-0.1569416482043727,-0.20224712682685844,-0.1163161787700868
FD004,MC-Dropout,Fixed-fraction,middle-late,160,-0.07816052695619963,-0.10899852402410175,-0.04623001555639991
FD004,MC-Dropout,CUSUM,late-middle,160,-0.1254321639700208,-0.15141695793676438,-0.09885651050961818
FD004,Split CP,Fixed-fraction,middle-late,160,-0.08953255556451221,-0.12625168131629488,-0.05507287932922344
FD004,Split CP,CUSUM,late-middle,160,-0.1576335721425875,-0.18820457335539492,-0.13061526979802016
