fd,method,convention,contrast,n_pairs,n_unique_engines,mean_diff,ci_lo_engine_block,ci_hi_engine_block,contains_zero_engine_block,ci_lo_instance,ci_hi_instance,contains_zero_instance
FD001,MC-Dropout,Fixed-fraction,middle-late,65,52,-0.12285434461095775,-0.18986645678154238,-0.06249483445791005,False,-0.17797405976171432,-0.07723934719021239,False
FD001,MC-Dropout,CUSUM,late-middle,61,49,-0.04404172369191059,-0.09465720441821723,0.006742036468840414,True,-0.08323585383178703,-0.00321524026512093,False
FD001,Split CP,Fixed-fraction,middle-late,65,52,-0.12929431868619537,-0.19809754983606476,-0.06787384326709783,False,-0.18405439322134157,-0.07899850116190833,False
FD001,Split CP,CUSUM,late-middle,61,49,-0.05918619292708562,-0.10906702782917295,-0.009007252288687482,False,-0.10079489691477239,-0.016223620646513576,False
FD002,MC-Dropout,Fixed-fraction,middle-late,165,129,-0.11871920899324646,-0.16434449543230872,-0.07677419718801506,False,-0.15889942705554527,-0.08086572672969755,False
FD002,MC-Dropout,CUSUM,late-middle,151,119,-0.06786053095339503,-0.10214627534016783,-0.03387859916179774,False,-0.09972382448849361,-0.03717577880486429,False
FD002,Split CP,Fixed-fraction,middle-late,165,129,-0.11464984949984966,-0.15905281740014726,-0.0725085127009371,False,-0.15684997084783767,-0.07547112147570863,False
FD002,Split CP,CUSUM,late-middle,151,119,-0.08653931904803117,-0.12402668207631966,-0.049396842971659416,False,-0.12025492743470556,-0.052316074690066265,False
FD003,MC-Dropout,Fixed-fraction,middle-late,65,52,-0.16764763124442683,-0.2520213845259761,-0.08139513332061292,False,-0.2361064600967126,-0.10000321403428447,False
FD003,MC-Dropout,CUSUM,late-middle,61,49,-0.144446799083054,-0.18080236836723634,-0.11022658565757376,False,-0.18009032764723035,-0.10925444190964444,False
FD003,Split CP,Fixed-fraction,middle-late,65,52,-0.17425801951238798,-0.2571754623840597,-0.08678658373169208,False,-0.24599549733594597,-0.10187894790550521,False
FD003,Split CP,CUSUM,late-middle,61,49,-0.15788177494961494,-0.1971800250802609,-0.1205648757684272,False,-0.1978021864390116,-0.12047820322842025,False
FD004,MC-Dropout,Fixed-fraction,middle-late,160,123,-0.07712817897235849,-0.1192487918706651,-0.03850469289879917,False,-0.10963992829033077,-0.04674636535640904,False
FD004,MC-Dropout,CUSUM,late-middle,152,118,-0.11883558501365393,-0.1570634033649645,-0.08024811721660328,False,-0.15116876605187993,-0.08818458533341407,False
FD004,Split CP,Fixed-fraction,middle-late,160,123,-0.08907403393677223,-0.13419449315526974,-0.04567842983422657,False,-0.125240577799036,-0.05581484684270454,False
FD004,Split CP,CUSUM,late-middle,152,118,-0.1515676225840301,-0.19379972096547965,-0.10860365437950421,False,-0.1850798439992144,-0.11872456757741207,False
